FIPS_Code,Rural Urban Continuum Code,Economic typology 2015,Death rate,Net Migration rate,Less than HS rate,HS Graduate rate,Some College rate,Bachelor+ rate,Unemployment rate ,Median Household Income (% of State Total),Poverty rate,Poverty Rate 0-17,Median household income,Population Estimate ,Male Rate,Female Rate,UNDER5_RATE,AGE513_RATE,AGE1417_RATE,AGE1824_RATE,AGE2529_RATE,AGE3034_RATE,AGE3539_RATE,AGE4044_RATE,AGE4549_RATE,AGE5054_RATE,AGE5559_RATE,AGE6064_RATE,AGE6569_RATE,AGE7074_RATE,AGE7579_RATE,AGE8084_RATE,AGE85PLUS_RATE,MEDIAN_AGE_TOT,White Male rate,White Female Rate,Black Male Rate,Black Female Rate,Native American Male Rate,Native American Female Rate,Asian Alone Male,Asian Alone Female,Hawaiian Pacific Male,Hawaiian Pacific Female,Multi Male Rate,Multi Female Rate,White alone or in combination Rate,Black alone or in combination Rate,Native American alone or in combination Rate,Asian American alone or in combination Rate,Hawaiian alone or in combination Rate,Republican
21033,7,0,14.5,-3.4,10.15332198,43.18001136,28.59738785,18.06927882,3.9,87,15.8,21.6,52719,12551,0.490956896,0.509043104,0.065572464,0.111066847,0.056011473,0.071070034,0.055055374,0.061429368,0.055613099,0.054656999,0.05935782,0.063341566,0.059915545,0.068679786,0.068361087,0.054736674,0.044777309,0.025894351,0.024460202,42.2,0.44833081,0.467691817,0.029320373,0.025814676,0.001752848,0.001673173,0.002549598,0.002549598,0.000239025,7.97E-05,0.008764242,0.011234165,0.93514461,0.067644012,0.009242291,0.007330093,0.00047805,1
21035,7,4,12.5,8.1,8.618477331,31.42429427,27.63473054,32.32249786,4.4,87.7,17.6,19.5,51424,38280,0.489916405,0.510083595,0.046473354,0.093913271,0.044592476,0.196865204,0.05862069,0.056400209,0.054388715,0.054963427,0.049320794,0.054179728,0.054963427,0.059874608,0.056635319,0.045794148,0.034038662,0.021447231,0.017528736,35.3,0.441980146,0.468704284,0.025705329,0.019200627,0.002220481,0.002560084,0.00862069,0.008803553,0.000417973,0.000470219,0.010971787,0.010344828,0.931086729,0.056896552,0.010788924,0.021525601,0.000835946,1
21037,1,4,9.2,3.4,6.891439576,26.89174525,26.76183344,39.45498174,3.6,125.2,10.3,11.9,80573,93702,0.495026787,0.504973213,0.05304049,0.101620029,0.048814326,0.087330046,0.074886342,0.07292267,0.067511899,0.064534375,0.053851572,0.059262342,0.06315767,0.070617489,0.063712621,0.049049113,0.032379245,0.019860835,0.017448934,39.5,0.463042411,0.471878935,0.015730721,0.015143754,0.001067213,0.001013852,0.005389426,0.006616721,0.000245459,0.000373525,0.009551557,0.009946426,0.95367228,0.042336343,0.00736377,0.015410557,0.000586967,1
21039,3,1,20.4,4.7,9.090909091,44.69948656,31.59166415,14.6179402,3.9,92,12.9,18.5,58639,4704,0.504676871,0.495323129,0.063137755,0.121386054,0.051232993,0.076530612,0.051870748,0.057610544,0.057397959,0.057397959,0.06292517,0.06377551,0.066113946,0.067602041,0.06079932,0.048469388,0.039328231,0.028486395,0.025935374,41.8,0.472151361,0.46789966,0.010841837,0.007865646,0.002763605,0.003826531,0.00255102,0.002338435,0,0,0.016369048,0.013392857,0.968962585,0.037202381,0.015518707,0.007865646,0.000212585,1
21041,6,3,13.7,3.4,16.05248465,40.50809604,34.57565606,8.863763261,3.5,100,16.2,22.5,62710,10987,0.502776008,0.497223992,0.070446892,0.135705834,0.063984709,0.077546191,0.059160826,0.063256576,0.057522527,0.062073359,0.055975243,0.060526076,0.061891326,0.065076909,0.056703377,0.045235278,0.030672613,0.015199782,0.019022481,37.6,0.470829162,0.468462729,0.013834532,0.008737599,0.002002366,0.00354965,0.0032766,0.003185583,0.000455083,0.001001183,0.012378265,0.012287249,0.962865204,0.037498862,0.014016565,0.008828616,0.00081915,1
21043,2,0,16.7,7.4,17.21477428,39.36525308,27.98905609,15.43091655,7.6,81.5,19.2,24.4,50853,26366,0.494159144,0.505840856,0.052833194,0.114427672,0.054805431,0.086209512,0.056550102,0.060456649,0.051278161,0.057270727,0.060797997,0.067549116,0.065804445,0.069521353,0.065197603,0.051885003,0.042023819,0.022680725,0.020708488,42,0.480618979,0.494310855,0.00496852,0.003223849,0.001630888,0.001327467,0.001327467,0.001744671,0.000151711,0.000189638,0.005461579,0.005044375,0.984942729,0.012629902,0.008419935,0.004209967,0.000303421,1
21045,9,1,14.8,3.9,22.13263272,45.74198224,20.32071027,11.80467476,4.1,73.5,21.1,27.6,42914,15918,0.49296394,0.50703606,0.057670562,0.11716296,0.054780751,0.072496545,0.059115467,0.059492399,0.054969217,0.060371906,0.056728232,0.064266868,0.065209197,0.06753361,0.066025883,0.055848725,0.043786908,0.027013444,0.017527328,42.1,0.475373791,0.487938183,0.005842443,0.007475814,0.002826988,0.002638522,0.001570549,0.002135947,0.000251288,0.000251288,0.007098882,0.006596306,0.976253298,0.020354316,0.011245131,0.005277045,0.000439754,1
21047,2,0,10.7,-10.8,13.11901439,32.40531306,34.50117908,19.97449348,5.1,95.6,17.8,23.2,54934,72032,0.523003665,0.476996335,0.094180364,0.137480564,0.053087517,0.142131275,0.093402932,0.075771879,0.056544314,0.048964349,0.041759218,0.041384385,0.04095402,0.044091515,0.040384829,0.033082519,0.025641382,0.015965127,0.015173812,28.8,0.378859396,0.33312972,0.108840515,0.11090904,0.004331408,0.003540093,0.008440693,0.007593847,0.00255442,0.002235118,0.019977232,0.019588516,0.748542315,0.245085518,0.016451022,0.025974567,0.004053754,1
21049,2,0,13.2,10.6,10.05887559,37.04929388,30.65378843,22.2380421,3.8,104,10.8,16.3,72386,37304,0.490215526,0.509784474,0.058117092,0.110577954,0.054659018,0.075782758,0.063934163,0.065542569,0.061092644,0.059108943,0.060770963,0.068973837,0.06661484,0.066212739,0.057983058,0.050932876,0.039137894,0.02203517,0.018523483,40.9,0.451024019,0.467992709,0.023214669,0.023750804,0.001822861,0.002037315,0.003270427,0.004530345,0.000375295,0.000375295,0.010508256,0.011098006,0.939684752,0.060663736,0.009221531,0.01131246,0.000723783,1
21051,9,4,17.4,-5.9,25.92720017,37.10176839,20.39496319,16.57606826,6.4,58.2,37.2,53.6,36330,19648,0.527687296,0.472312704,0.053338762,0.105964984,0.049776059,0.064434039,0.064637622,0.086268322,0.072984528,0.067691368,0.064892101,0.070948697,0.066622557,0.068200326,0.057359528,0.045755293,0.029672231,0.018118893,0.013334691,40.2,0.48473127,0.458214577,0.034710912,0.006056596,0.001628664,0.000814332,0.001221498,0.000865228,0.000203583,0.000203583,0.005191368,0.006158388,0.953837541,0.045348127,0.008092427,0.003613599,0.000407166,1
